Sample Size,Margin of Error
40,0.1549516053482506
45,0.14608977452998625
50,0.1385929291125633
55,0.13214317304279544
60,0.12651745597610894
65,0.12155403989742429
70,0.11713240371477057
75,0.11316065276116663
80,0.10956733089748968
85,0.10629592433114153
90,0.10330107023216706
95,0.10054587850434511
100,0.098
105,0.09563820714895625
110,0.09343933374606804
115,0.09138547120755075
120,0.08946135105917713
125,0.08765386471799175
130,0.08595168589208886
135,0.0843449706507393
140,0.08282511696339462
145,0.08138457025666516
150,0.08001666493091715
155,0.07871549423244488
160,0.0774758026741253
165,0.07629289652782925
170,0.0751625689070423
175,0.07408103670980853
180,0.07304488726499313
185,0.07205103296519315
190,0.07109667251078114
195,0.07017925765586443
200,0.06929646455628165
205,0.06844616898541867
210,0.06762642481555071
215,0.0668354452681064
220,0.06607158652139772
225,0.06533333333333333
230,0.06461928639278712
235,0.06392815115923733
240,0.06325872798805447
245,0.06260990336999411
250,0.061980642139300234
255,0.06136998052634465
260,0.060777019948712145
265,0.06020092144972722
270,0.05964090070611809
275,0.059096223537241664
280,0.058566201857385286
285,0.058050190020391045
290,0.05754758151244094
295,0.05705780595447904
300,0.056580326380583315
305,0.05611463676275909
310,0.05566025975621235
315,0.05521674464226308
320,0.05478366544874484
325,0.05436061923007245
330,0.05394722449119167
335,0.053543119741399
340,0.053147962165570765
345,0.05276142640170022
350,0.052383203414835176
355,0.05201299945855897
360,0.05165053511608353
365,0.051295544413840946
370,0.05094777400118356
375,0.05060698239044358
380,0.050272939252172556
385,0.04994542476088731
390,0.049624228987099665
395,0.049309151331809506
400,0.049
410,0.04839875023582989
420,0.047819103574478126
430,0.04725979657270039
440,0.04671966687303402
450,0.0461976430375211
460,0.045692735603775375
470,0.04520402919341537
480,0.044730675529588565
490,0.04427188724235731
500,0.043826932358995874
510,0.04339512939146467
520,0.04297584294604443
530,0.0425684797907808
540,0.04217248532536965
550,0.04178734040569964
560,0.04141255848169731
570,0.041047683012586156
580,0.04069228512833258
590,0.040345961510038296
600,0.040008332465458575
610,0.03967904017876689
620,0.03935774711622244
630,0.03904413457159019
640,0.03873790133706265
650,0.03843876248708407
660,0.038146448263914626
670,0.037860703055026534
680,0.03758128445352115
690,0.03730796239371716
700,0.03704051835490427
710,0.036778744626999274
720,0.036522443632496564
730,0.036271427299682656
740,0.036025516482596574
750,0.03578454042367085
760,0.03554833625539057
770,0.035316748537665914
780,0.035089628827932214
790,0.03486683528127618
800,0.034648232278140824
810,0.03443369007738902
820,0.03422308449270933
830,0.03401629659053054
840,0.03381321240777536
850,0.03361372268793173
860,0.0334177226340532
870,0.03322511167741971
880,0.03303579326069886
890,0.03284967463454555
900,0.03266666666666666
910,0.032486683662457994
920,0.03230964319639356
930,0.0321354659534137
940,0.03196407557961867
950,0.03179539854162946
960,0.031629363994027236
970,0.031465903654328845
980,0.03130495168499706
990,0.03114644458202268
1000,0.030990321069650117
1010,0.030836522000850075
1020,0.030684990263172326
1030,0.030535670689638035
1040,0.030388509974356073
1050,0.030243456592570016
1060,0.03010046072486361
1070,0.029959474185271413
1080,0.029820450353059046
1090,0.02968334410795375
1100,0.029548111768620832
1110,0.029414711034195542
1120,0.029283100928692643
1130,0.02915324174812775
1140,0.029025095010195522
1150,0.028898623406359836
1160,0.02877379075622047
1170,0.028650561964029618
1180,0.02852890297723952
1190,0.028408780746969974
1200,0.028290163190291658
1210,0.028173019154227378
1220,0.028057318381379544
1230,0.02794303147709785
1240,0.027830129878106177
1250,0.027718585822512663
1260,0.02760837232113154
1270,0.027499463130049372
1280,0.02739183272437242
1290,0.02728545627309552
1300,0.027180309615036227
1310,0.027076369235781342
1320,0.026973612245595836
1330,0.026872016358247004
1340,0.0267715598706995
1350,0.026672221643639048
1360,0.026573981082785383
1370,0.02647681812095666
1380,0.02638071320085011
1390,0.026285647258505185
1400,0.026191601707417588
1410,0.026098558423274066
1420,0.026006499729279486
1430,0.02591540838204931
1440,0.025825267558041765
1450,0.025736060840505618
1460,0.025647772206920473
1470,0.02556038601690775
1480,0.02547388700059178
1490,0.025388260247391152
1500,0.02530349119522179
1510,0.025219565620093955
1520,0.025136469626086278
1530,0.02505418963568077
1540,0.024972712380443653
1550,0.02489202489203734
1560,0.024812114493549833
1570,0.02473296879112837
1580,0.024654575665904753
1590,0.02457692326620044
1600,0.0245
1610,0.024423794527682115
1620,0.02434829575499771
1630,0.024273492826285426
1640,0.024199375117914944
1650,0.024125932231949213
1660,0.024053153990016982
1670,0.023981030427387424
1680,0.023909551787239063
1690,0.023838708515115475
1700,0.02376849125356063
1710,0.02369889083692705
1720,0.023629898286350193
1730,0.023561504804882904
1740,0.023493701772783822
1750,0.023426480742954114
1760,0.02335983343651701
1770,0.023293751738534887
1780,0.02322822769385888
1790,0.023163253503106208
1800,0.02309882151876055
1810,0.023034924241391152
1820,0.022971554315986274
1830,0.022908704528397036
1840,0.022846367801887688
1850,0.022784537193788576
1860,0.022723205892248247
1870,0.022662367213081135
1880,0.022602014596707683
1890,0.02254214160518357
1900,0.02248274191931505
1910,0.0224238093358575
1920,0.022365337764794282
1930,0.022307321226693284
1940,0.02224975385013849
1950,0.02219262986923408
1960,0.022135943621178655
1970,0.02207968954390731
1980,0.02202386217379924
1990,0.021968456143448795
2000,0.021913466179497937
